image_path,class_name,calories,protein,carbs,fats,portion_gram
Banh_beo/100.jpg,Banh_beo,176.25,8.71,35.68,9.43,153.1
Banh_beo/101.jpg,Banh_beo,229.28,7.44,33.42,8.94,162.12
Banh_beo/102.jpg,Banh_beo,207.92,8.94,32.7,8.06,154.36
Banh_beo/104.jpg,Banh_beo,184.04,7.74,33.39,7.81,144.58
Banh_beo/105.jpg,Banh_beo,204.28,8.73,31.87,8.01,139.91
Banh_beo/106.jpg,Banh_beo,178.53,8.64,35.57,8.22,163.44
Banh_beo/107.jpg,Banh_beo,194.27,6.98,29.3,8.09,141.48
Banh_beo/108.jpg,Banh_beo,190.65,8.66,32.12,8.03,154.53
Banh_beo/10.jpg,Banh_beo,198.82,9.13,28.1,8.84,150.47
Banh_beo/112.jpg,Banh_beo,200.79,7.98,34.79,8.16,143.67
Banh_beo/116.jpg,Banh_beo,228.1,7.56,31.99,7.47,141.09
Banh_beo/117.jpg,Banh_beo,212.36,7.37,21.66,9.61,168.05
Banh_beo/120.jpg,Banh_beo,194.3,8.7,26.1,7.6,143.5
Banh_beo/122.jpg,Banh_beo,180.2,8.75,24.95,6.83,166.58
Banh_beo/123.jpg,Banh_beo,167.31,7.72,30.92,8.23,150.76
Banh_beo/124.jpg,Banh_beo,185.18,8.27,28.73,7.04,142.11
Banh_beo/125.jpg,Banh_beo,190.95,7.33,31.3,8.26,139.11
Banh_beo/126.jpg,Banh_beo,218.28,7.94,28.88,9.13,122.26
Banh_beo/127.jpg,Banh_beo,239.26,6.74,33.69,8.81,154.12
Banh_beo/128.jpg,Banh_beo,200.72,8.61,30.29,8.17,148.15
Banh_beo/129.jpg,Banh_beo,210.31,8.11,29.13,6.92,130.36
Banh_beo/130.jpg,Banh_beo,152.91,9.34,30.54,9.1,142.89
Banh_beo/132.jpg,Banh_beo,218.78,8.72,26.53,7.39,159.06
Banh_beo/133.jpg,Banh_beo,177.72,8.77,31.84,8.46,133.49
Banh_beo/134.jpg,Banh_beo,206.52,7.97,29.48,8.73,175.52
Banh_beo/135.jpg,Banh_beo,194.5,8.88,33.96,8.28,149.01
Banh_beo/136.jpg,Banh_beo,183.72,8.32,36.32,7.44,166.41
Banh_beo/137.jpg,Banh_beo,190.91,7.9,30.06,9.24,170.07
Banh_beo/138.jpg,Banh_beo,184.11,6.44,25.08,7.6,159.36
Banh_beo/139.jpg,Banh_beo,217.61,8.47,25.85,7.15,155.49
